Code	Provider	Marking	Case	Unit	Description	Provider	Category
	Code	Code		$US			
AM26L02DC			DIL14	0.55		1	1
SN74LS00N			DIL14	0.55	QUAD 2-IN NAND  Gate	1	1
74HC00			DIL14	0.55	QUAD 2-IN NAND  Gate	1	1
74HCT00			DIL14	0.47	QUAD 2-IN NAND  Gate	1	1
SN74LS02			DIL14	0.56	QUAD 2-IN NOR  Gate	1	1
74HCT02			DIL14	0.47	QUAD 2-IN NOR  Gate	1	1
74LS04N			DIL14	0.55	HEX SCMITT TRIGGER INV	1	1
74HCT04			DIL14	0.35	HEX SCMITT TRIGGER INV	1	1
SN7407			DIL14	0	HEX BUFFER OC	1	1
MM74C08J			DIL14	0.55	QUAD 2-IN AND  Gate	1	1
74HCT08			DIL14	0.35	QUAD 2-IN AND  Gate	1	1
74LS09			SOIC14	0.35	QUAD 2-IN AND OC Gate	1	1
SN7413			DIL14	0.35		1	1
74HC14			DIL14	0.48	HEX SCMITT TRIGGER INV	1	1
74HC14			SOIC14	0.35	HEX SCMITT TRIGGER INV	1	1
SN74LS32N			DIL14	0.55	QUAD 2-IN OR  Gate	1	1
74HCT32D			DIL14	0.44	QUAD 2-IN OR  Gate	1	1
SN7448			DIL14	0.64		1	1
74HC74				0.44	DUAL D-TYPE FLIFLOP	1	1
SN74LS74AN			DIL14	0.53	DUAL D-TYPE FLIFLOP	1	1
SN74F74				0.45	DUAL D-TYPE FLIFLOP	1	1
SN74HC86				0.48	QUAD 2-IN EXCLUSIVE OR Gate	1	1
SN74123			DIL16	0.48	DUAL MONOSTABLE MULTIVABRATOR	1	1
74LS123				0.48	DUAL MONOSTABLE MULTIVABRATOR	1	1
74LS125				0.48	QUAD BUS BUFFER TRISTATE	1	1
SN74151AN			DIL16	0.6	DATASELECTOR/MULTIPLEXER 1-of-8	1	1
DM74154N			DIL24	0.48	DATASELECTOR/MULTIPLEXER 1-of-8	1	1
74HC154			SOIC24	0.48	DECODER/DEMUX 4-to-16	1	1
74HCT157A				0.48	QUAD 2-to-1 LINE SELECTOR/MULTIPLEXER	1	1
SN74LS164N			DIL14	0.48	8-BIT SHIFT REGISTER	1	1
74HCT174				0.55	HEX D-TYPE FLIP-FLOP CLEAR	1	1
SN74182N			DIL16	0.54		1	1
MM74HC193N			DIL14	0.56		1	1
SN74192N			DIL16	0.55		1	1
DM74193N			DIL16	0.55	Synchronous 4-Bit Binary Counter with Dual Clock	1	1
SN74195N			DIL16	0.55	4-Bit Parallel-Access Shift Register	1	1
74LS196			DIL14	0.55	"4-Stage Ripple Presetable Counter, "	1	1
SN74LS245N			DIL20	0.68		1	1
SN74LS367			DIL14	0.67	"Hex Bus Driver, Tri-State"	1	1
74HC368				0.57	"Hex Buffer / Line Driver, Tri-State, inverting "	1	1
74HC373			DIL16	0.57	Octal D-Type Latches and Edge Triggered Flip-Flops	1	1
74LS374				0.57	Octal D-Type Transparent Latches and Edge Triggered Flip-Flops	1	1
74HCT393EX			DIL14	0.52	Dual 4-Bit Decade and Binary Counter	1	1
SN74LS688N				0.52		1	1
SN74HCT688N				0.52		1	1
MC14000CP				0.5		1	1
HEF4000BP			DIL14	0.62		1	1
CD4001BCM			SOC14	0.48	QUAD 2-IN NOR Gate	1	1
HEF4001BP			DIL14	0.48		1	1
MC14001			DIL14	0.48		1	1
MC14002CP			DIL14	0.48		1	1
CD4007B			DIL14	0.48		1	1
MC14008BCP			DIL16	0.48		1	1
CD4011B			DIL14	0.48	QUAD 2-IN NAND Gate	1	1
CD4011BCM			SOIC14	0.48	QUAD 2-IN NAND Gate	1	1
MC14011B			DIL14	0.48	QUAD 2-IN NAND Gate	1	1
TC4013BP			DIL14	0.48	DUAL D-FlipFlop	1	1
CD4013B			DIL14	0.48	DUAL D-FlipFlop	1	1
CD4013BCM			SOIC14	0.36	DUAL D-FlipFlop	1	1
CD4017BCN			DIL14	0.48	COUNTER DEC	1	1
MC14017B			DIL14	0.48	COUNTER DEC	1	1
CD4023B			DIL14	0.48	TRIPLE 3-IN NAND Gate	1	1
MC14023			DIL14	0.48		1	1
MC14023B			SOIC14	0.48	TRIPLE 3-IN NAND Gate	1	1
MC4024L				0.48		1	1
MC14025UB			DIL14	0.48		1	1
MC14027CP			DIL16	0.48	JK-FLIP-FLOP	1	1
CD4029B			DIL16	0.48	COUNTER PRESET BIN/BCD UP/DN	1	1
HEF4029BP			DIL16	0.48	COUNTER PRESET BIN/BCD UP/DN	1	1
